Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	114.597	121.199	125.872	122.792	127.656	126.545	131.069	131.465	132.916
1952	113.586	120.841	126.076	124.905	128.781	125.878	129.16	130.214	129.923
1953	116.137	124.079	128.166	125.436	128.592	125.8	130.465	129.785	128.539
1954	113.941	126.756	127.018	128	131.854	130.368	134.088	136.303	138.778
1955	116.943	119.09	119.706	121.37	127.783	130.718	139.083	142.082	141.633
1956	122.354	129.658	134.653	135.299	138.631	136.936	142.351	143.509	143.826
1957	107.483	113.347	117.762	117.947	121.903	119.699	124.185	126.453	127.734
1958	112.887	120.263	124.424	123.876	128.786	130.023	135.515	137.293	138.202
1959	107.117	112.038	116.133	117.309	121.911	122.51	125.563	125.614	126.385
1960	108.745	115.311	120.741	118.767	124.929	123.431	127.529	130.434	132.373
1961	105.519	109.352	113.704	113.786	116.667	116.683	119.308	121.292	121.867
1962	117.605	121.104	125.796	126.481	130.573	129.228	134.512	134.257	133.125
1963	117.899	126.668	131.332	131.585	136.648	137.324	142.198	141.726	141.809
1964	117.404	122.125	124.935	126.815	129.466	129.32	131.88	133.928	134.962
1965	114.339	121.181	126.337	125.763	130.894	129.398	134.287	134.679	134.234
1966	109.656	114.37	119.227	118.96	122.463	121.203	124.691	128.516	132.084
1967	110.206	117.951	120.491	120.819	124.849	123.087	126.352	126.619	126.195
1968	115.937	119.18	122.644	122.067	126.552	125.177	129.209	129.649	127.987
1969	114.248	121.669	125.269	125.222	130.914	129.754	133.442	137.038	139.411
1970	114.069	122.976	127.263	127.226	132.963	132.76	136.917	139.854	142.344
1971	116.566	119.739	125.306	125.216	127.696	126.877	129.733	130.024	129.949
1972	110.578	116.488	121.763	120.064	124.618	124.068	128.531	129.569	130.731
1973	121.141	126.919	130.648	129.964	134.412	131.311	134.447	133.777	131.034
1974	113.595	119.521	121.01	117.957	120.967	117.946	122.628	122.628	122.351
1975	112.882	117.76	121.824	122.173	126.666	125.872	128.121	128.411	128.462
1976	113.241	120.658	123.695	124.056	128.804	129.002	132.475	133.673	135.244
1977	105.941	113.115	117.89	116.687	123.729	123.196	127.526	128.414	128.802
1978	117.784	122.315	126.811	125.777	131.008	129.781	133.537	133.569	134.658
1979	109.542	122.045	127.773	126.724	133.66	133.309	138.581	140.161	140.32
1980	109.691	119.298	123.723	123.933	128.7	127.253	132.105	134.01	137.132
1981	111.065	115.422	120.717	120.486	125.94	125.093	128.86	129.248	129.198
1982	115.573	116.89	121.329	121.967	129.034	130.049	133.65	133.643	134.341
1983	115.564	123.129	125.039	125.535	128.903	126.622	130.18	129.481	128.393
1984	119.272	125.604	125.128	125.646	132.074	130.83	136.798	136.035	135.181
1985	116.402	124.786	127.257	127.399	132.832	131.952	136.9	136.523	136.766
1986	119.861	126.366	131.601	131.343	137.236	134.807	138.231	137.691	137.075
1987	114.833	122.034	126.325	129.054	134.749	133.233	138.626	142.255	140.805
1988	114.923	118.46	119.994	119.114	124.317	122.853	127.58	128.439	128.044
1989	115.019	121.862	119.291	117.345	122.264	121.666	123.234	122.912	121.946
1990	110.743	116.325	116.894	117.684	120.897	118.631	119.086	118.407	116.719
1991	111.141	119.028	123.037	123.314	129.265	128.502	131.919	131.854	131.609
1992	113.174	121.062	123.835	124.838	127.165	125.409	127.828	128.197	126.916
1993	110.488	114.967	119.506	119.353	122.675	121.283	124.448	125.575	124.985
1994	110.946	119.443	121.126	118.987	122.124	121.723	125.852	127.055	127.498
1995	111.411	118.173	120.138	120.27	123.588	121.213	124.407	124.688	125.031
1996	118.493	116.904	120.602	124.655	130.019	131.59	137.716	140.463	140.871
1997	102.98	105.999	111.763	115.717	121.184	122.484	123.975	126.226	127.903
1998	110.523	117.776	120.681	121.917	125.492	123.167	124.78	123.034	121.694
1999	109.773	116.845	121.728	120.189	124.191	122.106	125.178	125.52	125.476
2000	110.814	119.047	121.922	121.489	124.402	122.192	123.811	122.927	122.392
