Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	0.977	0.974	0.853	0.944	0.897	0.886	0.11	0.398	0.885
1952	0.993	0.984	0.697	0.852	0.81	0.897	0.923	0.103	0.902
1953	0.989	0.866	0.462	0.942	0.914	0.796	0.393	0	0.278
1954	0.971	0.956	0.69	0.918	0.749	0.803	0.7	0.617	0.543
1955	0.992	0.98	0.842	0.968	0.955	0.799	0	0	0
1956	0.953	0.748	0	0	0	0	0	0	0
1957	0.995	0.949	0.965	0.719	0.904	0.953	0.883	0.9	0.914
1958	0.989	0.794	0.392	0.857	0.935	0.88	0	0	0.214
1959	0.998	0.992	0.987	0.98	0.975	0.97	0.975	0.964	0.795
1960	0.918	0.924	0.864	0.982	0.966	0.948	0.865	0.941	0.932
1961	0.995	0.974	0.93	0.989	0.985	0.971	0.942	0.929	0.836
1962	0.995	0.971	0.973	0.967	0.939	0.67	0.867	0.789	0.842
1963	0.902	0.477	0.76	0.765	0.737	0.143	0.038	0	0
1964	0.706	0.913	0.569	0.977	0.954	0.948	0.869	0.776	0.883
1965	0.986	0.973	0.544	0.907	0.641	0.795	0.81	0.469	0.889
1966	0.996	0.988	0.982	0.972	0.833	0.941	0.898	0.582	0.361
1967	0.983	0.912	0.902	0.971	0.906	0.944	0.934	0.919	0.953
1968	0.966	0.916	0.565	0.829	0.506	0.328	0.83	0.121	0.59
1969	0.982	0.93	0.004	0.912	0.658	0.833	0.821	0.737	0.732
1970	0.988	0.932	0.506	0.805	0.527	0.358	0.727	0.363	0.354
1971	0.96	0.833	0.39	0.508	0.744	0.63	0.213	0.611	0.59
1972	0.996	0.991	0.981	0.987	0.971	0.962	0.727	0.76	0.836
1973	0.993	0.981	0.526	0.971	0.926	0.96	0.958	0.946	0.963
1974	0.995	0.976	0.822	0.962	0.951	0.925	0.951	0.922	0.957
1975	0.964	0.966	0.963	0.961	0.945	0.929	0.821	0.927	0.961
1976	0.994	0.986	0.979	0.968	0.919	0.859	0.792	0.828	0.856
1977	0.993	0.982	0.976	0.96	0.911	0.912	0.906	0.283	0.886
1978	0.99	0.983	0.941	0.834	0.905	0.864	0.712	0.525	0
1979	0.994	0.983	0.92	0.959	0.826	0.778	0	0	0
1980	0.995	0.982	0.908	0.984	0.978	0.98	0.969	0.925	0.905
1981	0.988	0.962	0.767	0.95	0.943	0.948	0.776	0.861	0.856
1982	0.998	0.99	0.985	0.985	0.964	0.931	0.713	0.875	0.703
1983	0.888	0.981	0.929	0.941	0.965	0.972	0.851	0.84	0.818
1984	0.994	0.982	0.978	0.975	0.955	0.959	0.945	0.952	0.956
1985	0.956	0.787	0	0.098	0.06	0.424	0	0.143	0.38
1986	0.982	0.966	0.686	0.893	0.156	0.768	0	0	0
1987	0.981	0.937	0.561	0.718	0.661	0.859	0.58	0	0
1988	0.996	0.964	0.982	0.984	0.88	0.981	0.935	0.925	0.929
1989	0.995	0.991	0.986	0.982	0.969	0.962	0.968	0.98	0.98
1990	0.996	0.994	0.989	0.987	0.978	0.984	0.951	0.967	0.953
1991	0.99	0.972	0.937	0.944	0.847	0.903	0.861	0.814	0.887
1992	0.995	0.987	0.985	0.979	0.975	0.976	0.977	0.975	0.97
1993	0.995	0.979	0.979	0.976	0.956	0.948	0.744	0.924	0.932
1994	0.996	0.99	0.975	0.985	0.969	0.954	0.937	0.901	0.706
1995	0.997	0.991	0.988	0.987	0.974	0.973	0.948	0.922	0.94
1996	0.995	0.981	0.892	0.978	0.96	0.922	0.908	0.21	0.766
1997	0.998	0.99	0.984	0.976	0.947	0.771	0.399	0.452	0.54
1998	0.993	0.987	0.985	0.984	0.968	0.967	0.825	0.874	0.957
1999	0.994	0.983	0.979	0.937	0.91	0.968	0.945	0.881	0.957
2000	0.996	0.988	0.986	0.984	0.974	0.97	0.98	0.979	0.983
