Location id	1	2	3	4	5	6
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0.998	0.999	0.999	0.999	1	1
1952	0.999	0.999	1	1	1	1
1953	0.999	0.999	0.999	1	1	1
1954	0.999	0.999	0.999	0.999	1	1
1955	0.999	1	1	1	1	1
1956	0.998	0.999	0.999	0.999	1	1
1957	0.999	0.999	1	1	1	1
1958	0.999	0.999	1	1	1	1
1959	1	1	1	1	1	1
1960	0.997	0.998	0.998	0.999	0.999	0.999
1961	0.999	0.999	1	1	1	1
1962	0.999	0.999	1	1	1	1
1963	0.996	0.997	0.998	0.999	0.999	0.999
1964	0.993	0.995	0.996	0.997	0.998	0.999
1965	0.999	0.999	0.999	1	1	1
1966	0.999	0.999	1	1	1	1
1967	0.998	0.999	0.999	0.999	1	1
1968	0.997	0.998	0.999	0.999	0.999	0.999
1969	0.998	0.999	0.999	0.999	1	1
1970	0.999	0.999	0.999	1	1	1
1971	0.997	0.998	0.999	0.999	0.999	0.999
1972	0.999	0.999	1	1	1	1
1973	0.999	0.999	1	1	1	1
1974	0.999	0.999	1	1	1	1
1975	0.998	0.999	0.999	1	1	1
1976	0.999	0.999	1	1	1	1
1977	0.999	0.999	1	1	1	1
1978	0.999	0.999	0.999	1	1	1
1979	0.999	0.999	1	1	1	1
1980	0.999	0.999	1	1	1	1
1981	0.998	0.999	0.999	0.999	1	1
1982	0.999	1	1	1	1	1
1983	0.997	0.998	0.999	0.999	0.999	0.999
1984	0.999	0.999	1	1	1	1
1985	0.997	0.998	0.999	0.999	0.999	0.999
1986	0.998	0.999	0.999	0.999	1	1
1987	0.998	0.999	0.999	0.999	1	1
1988	0.999	1	1	1	1	1
1989	0.999	0.999	1	1	1	1
1990	0.999	1	1	1	1	1
1991	0.998	0.999	0.999	1	1	1
1992	0.999	0.999	1	1	1	1
1993	0.999	0.999	1	1	1	1
1994	0.999	0.999	1	1	1	1
1995	0.999	1	1	1	1	1
1996	0.999	0.999	1	1	1	1
1997	0.999	1	1	1	1	1
1998	0.998	0.999	1	1	1	1
1999	0.999	0.999	0.999	1	1	1
2000	0.999	0.999	0.999	1	1	1
